PID,Trial,HitorMiss,Enc_or_Ret,Ret_OL,CA1,CA3,DG
20230530_SDT04,1,0,1,0,-1.66499672941946,-1.15373397930001,-2.50824899262529
20230530_SDT04,2,0,1,0,-0.279651185432158,-0.231511949812616,-0.660763167289699
20230530_SDT04,3,1,1,0,-0.0161869211820396,0.315487628282551,-0.788058056582328
20230530_SDT04,4,0,1,0,-0.534062745784529,-0.298917408086158,-1.34258980327139
20230530_SDT04,5,0,1,0,-0.470235282946382,0.0640058328070351,-0.749122672672054
20230530_SDT04,6,0,1,0,-0.951409166134557,0.538181782096859,-1.17013105516356
20230530_SDT04,7,1,1,0,-0.0875158811989827,1.3351465747289,-0.328676626601421
20230530_SDT04,8,0,1,0,-0.241442084084622,0.861037806405157,-0.627463386943634
20230530_SDT04,9,0,1,0,-1.4868358381767,-1.0076111753853,-2.62796698268014
20230530_SDT04,10,0,1,0,0.202095899559332,-0.135123011578902,0.136048041364391
20230530_SDT04,11,0,1,0,0.410578038681889,1.26133557718461,0.199780028746424
20230530_SDT04,12,1,1,0,0.330258310077044,-0.672857601724451,0.719221043081686
20230530_SDT04,13,1,1,0,0.639110597954442,0.267451118482361,1.13060654997035
20230530_SDT04,14,0,1,0,0.246144387297082,-0.214141407148359,0.720499044183778
20230530_SDT04,15,1,1,0,0.791926228278751,0.737031581242037,1.36267864975052
20230530_SDT04,16,1,1,0,0.33024279570256,0.0223727730021032,0.888598125568219
20230530_SDT04,17,0,1,0,-0.102998038655183,-0.721613538346404,0.731011702947545
20230530_SDT04,18,0,1,0,-1.03167181009733,1.47657763845044,-1.20989066775795
20230530_SDT04,19,0,1,0,0.0144337764675492,-1.09262375229517,-0.611320696761284
20230530_SDT04,20,1,1,0,0.491643176174501,-0.772083519430525,-0.0759358923279491
20230530_SDT04,21,0,1,0,-0.0681014489266335,0.401648850728934,-0.375528303634416
20230530_SDT04,22,0,1,0,0.296094347705525,0.0912456235772855,-1.20200067110991
20230530_SDT04,23,1,1,0,0.424886878210921,-0.607491380331811,-0.82603388861731
20230530_SDT04,24,0,1,0,-0.93514224915765,-2.05258544258069,-2.10659171482425
20230530_SDT04,25,0,1,0,0.670401354768766,0.305194430374582,0.0945032930445202
20230530_SDT04,26,0,1,0,0.528421733778785,0.479384058365716,0.465086534841933
20230530_SDT04,27,0,1,0,0.518364896106352,0.144197411686161,0.401762078298808
20230530_SDT04,28,1,1,0,0.155506855128928,-0.39363810262131,0.184847774007923
20230530_SDT04,29,1,1,0,0.515370342122932,1.74585133916611,1.57676443104159
20230530_SDT04,30,1,1,0,0.169707022312299,0.897265951139097,0.664361338466983
20230530_SDT04,31,0,1,0,0.433560751193244,-0.944285163582043,-0.103508041626167
20230530_SDT04,32,0,1,0,-0.825923992713247,-0.846818718691734,-0.538655084786247
20230530_SDT04,33,0,1,0,0.474602263922311,0.685226669288366,-0.857521848367129
20230530_SDT04,34,1,1,0,-0.910824799518203,-0.593372544395393,-2.50712616419043
20230530_SDT04,35,0,1,0,-0.306817770142455,0.968345324072551,-0.0617747176141277
20230530_SDT04,36,0,1,0,-0.321358185323292,1.36887834921546,1.25922266070717
